,Player_Name,Height,Weight,Age,Preferred_foot,overall_score,potential_score,Ball_Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping,Weekly_Wage,Market_Value
789,Darwin Machís,174,74,27,Right,78,78,78.5,33,64.4,74.67,81,69.62,9.8,28500,15000000
790,De Tomás,181,72,25,Right,78,80,77.5,29.67,62.6,59,73,75.5,10.2,11500,18000000
791,Jhon Córdoba,188,85,27,Right,78,79,73.5,37.33,74.6,58.67,80.29,70.88,10.6,49000,16500000
792,Fabian Schär,188,84,28,Right,78,80,70.5,78.67,74.2,72,69.57,70.5,10.6,41000,14000000
793,Christian Günter,185,87,27,Left,78,78,70,74,73.4,71.67,77.14,57.38,11,25000,13500000
794,Florent Mollet,170,67,28,Right,78,78,80,49,66.8,77,71.86,71.38,12.2,36000,14000000
795,Hiroki Sakai,183,70,30,Right,78,78,66.5,77.67,75.4,70.33,76.43,55.75,10.2,36000,12000000
796,Romain Saïss,188,84,30,Left,78,78,71,77.67,74.2,70.33,67.71,57.12,10,70000,11500000
797,Bryan Cristante,186,80,25,Right,78,82,78,75,75.2,76.33,60.86,69.88,3.8,44000,18000000
798,Abdoulaye Doucouré,184,76,27,Right,78,80,76.5,76.67,75.2,73.33,74,62.75,13.6,70000,15000000
799,Sead Kolašinac,183,86,27,Left,78,79,75.5,75.67,76,71.33,75,60.38,11.2,70000,15000000
800,Yussuf Poulsen,192,84,26,Right,78,80,75,48.33,73.4,64.67,77.86,67.12,10.8,55000,17500000
801,Michael Keane,191,82,27,Right,78,79,65,78.67,65.4,65.33,67.57,51.12,11.2,70000,14000000
802,Robin Olsen,196,86,30,Right,78,78,14.5,16.67,35.6,29.67,42.29,21.75,77.4,37000,9500000
803,Luciano Vietto,173,65,26,Right,78,79,82.5,42.67,64,74.33,73.14,74.12,11.2,16500,16500000
804,Leandro Trossard,172,67,25,Right,78,81,80,26.33,58,76,76.71,74.25,9.4,55000,18500000
805,Manu Trigueros,178,75,28,Right,78,78,77.5,68,73.8,76.33,62.86,71.5,10,35000,14000000
806,Mattia De Sciglio,182,78,27,Right,78,78,74.5,78.33,71.6,73.33,74,52.88,4.2,65000,13500000
807,Leo Baptistao,181,71,28,Right,78,78,79,26.33,63.4,69.67,77,71.62,9.2,17500,15000000
808,Zouhair Feddal,192,83,30,Left,78,78,63,78,72.2,70.67,59.86,51.62,11.4,14000,11500000
809,Téji Savanier,172,69,28,Right,78,78,78,67.67,77.4,80.33,67,68.12,11.6,36000,14000000
810,Bernard,164,60,28,Right,78,78,83.5,32.67,60.6,71,71.71,67.62,10.4,75000,15000000
811,Filip Novák,184,78,30,Left,78,78,73.5,74,74.2,71.33,75.71,64.25,10,60000,12000000
812,Denis Suárez,176,69,26,Right,78,79,81.5,59,69.6,77.33,68.57,68.75,9.6,28000,16500000
813,Takashi Inui,169,69,32,Right,78,78,82.5,43.33,63.8,73.67,72.14,66.75,11.4,30000,11000000
814,John Egan,188,75,27,Right,78,80,61.5,78.67,68.8,57.67,69.14,47.38,9.6,35000,15000000
815,Michy Batshuayi,185,91,26,Right,78,81,78.5,28.33,65,54.33,74.71,70.75,11.4,85000,18500000
816,Jan Bořil,175,75,29,Right,78,78,73,75.67,75.4,74,80.71,57.38,10.2,19000,12500000
817,M'Baye Niang,188,83,25,Right,78,81,82,24.67,60.6,65.67,76.14,74,4.4,48000,19000000
818,Christoph Kramer,191,76,29,Right,78,78,74,76.33,77,69.33,59.14,51.62,8.8,37000,12000000
819,Loris Karius,189,87,27,Right,78,81,19.5,11,35.2,31,54.29,20.75,77.8,60000,14000000
820,Leonardo Spinazzola,186,75,27,Right,78,78,80,76.67,74,77.33,75.14,60.38,13,50000,15000000
821,Emiliano Martínez,195,90,28,Right,78,81,24,17,37.6,38.33,56,26.75,78,43000,14000000
822,Danny da Costa,187,89,27,Right,78,79,73,76,73.6,71,77.57,56.75,10.8,27500,15000000
823,Eric Dier,190,90,26,Right,78,82,67.5,81,75,72.33,61,67.88,10.6,75000,17500000
824,Diego Demme,172,71,28,Right,78,79,73,74.67,73.8,75.33,69.57,51,11.8,55000,13500000
825,Remo Freuler,180,80,28,Right,78,78,78,74.33,75.6,76,66.29,64.12,11.2,55000,14000000
826,Ciprian Tătărușanu,198,90,34,Right,78,78,17.5,13,38,28.33,50,18.38,77.4,29500,2400000
827,Pablo,188,89,29,Right,78,79,60,78.33,70.4,54,63.57,55.5,12,33000,13000000
828,Djibril Sidibé,182,71,28,Right,78,78,76,74.67,74.4,76.67,77,62.75,10.8,45000,13500000
829,Nacer Chadli,187,85,31,Right,78,78,82,53,71.2,74,73.43,75.62,11.6,43000,13500000
830,Cristian Tello,178,65,29,Right,78,78,79.5,48.67,61.4,73,78.57,69.25,11.2,26500,14000000
831,Hans Vanaken,195,80,28,Right,78,78,80.5,55,74,78.33,55.43,77.5,10.8,28000,15000000
832,Lewis Dunk,192,88,28,Right,78,80,67.5,79,69.4,60.67,59.57,54.12,11.6,55000,14000000
833,Nicolas Pallois,189,89,33,Left,78,78,58.5,79,66.6,65.33,57.71,54.12,12.4,26000,9000000
834,Domagoj Vida,184,76,31,Right,78,78,58.5,81.33,71.6,63,74.14,45.25,11.2,60000,9500000
835,Ross Barkley,186,87,26,Right,78,81,83.5,55,71.8,76.67,68.14,70.62,10.2,80000,18000000
836,Kévin Malcuit,178,77,29,Right,78,78,78,76,71.8,76,75.14,59.12,11.4,55000,12500000
837,Nathan Redmond,173,69,26,Right,78,79,80.5,29.67,58,70.67,70.86,63.25,11.6,55000,16500000
838,Fredrik Midtsjø,176,70,27,Right,78,79,77,68,75.4,79,77.29,61,11.4,13000,16500000
839,Jonas Svensson,170,70,27,Right,78,79,74,74,75.2,73,80.14,60.75,12,12000,15000000
840,Rogelio Funes Mori,186,78,29,Right,78,78,74.5,38,71.6,66.67,76.29,76,10.8,50000,14000000
841,Celso Ortíz,174,74,31,Left,78,78,72.5,75.67,75,68.33,70.57,52.75,11.2,40000,10000000
842,Josuha Guilavogui,188,77,30,Right,78,78,67.5,80.33,75.4,67.67,69.86,58.75,12.2,44000,12000000
843,Patrick Herrmann,179,70,29,Right,78,78,78.5,36,63,73.67,68.86,68.75,10,44000,14000000
844,Sérgio Oliveira,181,78,28,Right,78,78,77,62,72.4,82,61.71,77.5,10,16000,14000000
845,Nicolás Lodeiro,170,69,31,Left,78,78,81,47.33,70.8,79.33,72.57,70.75,12.2,10500,11500000
846,Callum Wilson,180,66,28,Right,78,78,76.5,31,69.8,64.33,76.57,70.12,9.8,48000,14500000
847,Hugo Mallo,173,69,29,Right,78,78,69.5,77.33,70,72.33,70.86,45.12,10.8,24500,12500000
848,Laguardia,185,80,30,Right,78,78,52.5,79.33,72,58.33,62.43,44.38,11.6,24500,11500000
849,Youssef El Arabi,182,84,33,Right,78,78,79,32.33,64.4,64,69.43,78.88,10,21500,9000000
850,Younès Belhanda,179,75,30,Right,78,78,82.5,53,72.2,77.33,74.71,74.12,12.8,65000,13500000
851,Germán Pezzella,186,81,29,Right,78,78,60,79.33,71.6,53.33,60.86,47.5,10.8,50000,12000000
852,Ricardo Rodríguez,180,77,28,Left,78,78,75,77.67,74.4,78,72.57,72.5,13.2,41000,13500000
853,Herrerín,187,89,32,Right,78,78,15.5,14.67,41.6,19.67,52.86,21.5,78.4,19000,7000000
854,Enda Stevens,183,78,30,Left,78,78,75.5,74,67.8,68.33,73.43,49.12,11,37000,12500000
855,Shkodran Mustafi,184,83,28,Right,78,80,61.5,77,72,65.67,67.29,58,10.2,70000,14000000
856,Chris Wood,191,92,28,Right,78,78,70.5,32.67,69.8,53.67,71.43,75.75,13.8,60000,14500000
857,Alexandr Kokorin,184,83,29,Right,78,78,80.5,41,69,69.67,76.43,73,10.6,22500,14000000
858,Luis Rodríguez,177,76,29,Right,78,78,75,73.33,71.8,72.33,78.86,61,8.2,46000,12500000
859,Maicon,191,84,32,Right,78,78,57.5,77.67,69,70.67,62.14,62.5,11.2,38000,9500000
860,Michail Antonio,178,82,30,Right,78,78,77,54.33,70.6,74,83.43,72.12,11.4,46000,14000000
861,Marwin Hitz,194,89,33,Right,78,78,15,14,34.4,24.67,49.57,23,75.6,39000,7000000
862,De Marcos,182,80,31,Right,78,78,75,72.33,76,74,80,61.12,10.2,23500,10000000
863,Ashley Westwood,175,73,30,Right,78,78,73.5,75,75.8,80,67.71,67.38,10.2,50000,12000000
864,Bas Dost,196,83,31,Right,78,78,70.5,43,72.6,49.33,52.71,73.62,10.4,33000,12000000
865,Manuel Lanzini,167,59,27,Right,78,79,82,29.33,59.4,77,69.71,69.88,10.2,43000,16000000
866,Senad Lulić,183,78,34,Right,78,78,78,75.67,76.4,78.67,76.71,69.12,9.2,55000,6500000
867,Lautaro Acosta,169,67,32,Right,78,78,78.5,44.33,77,73,82.29,66.75,10.6,24000,11000000
868,Matías Suárez,183,75,32,Right,78,78,82,43.67,70.4,74.33,75.57,76.5,11.4,21500,11500000
869,Rafael Carioca,181,78,31,Right,78,78,75.5,75,77,77.67,70.29,64.62,11.8,44000,10000000
870,Mateo Musacchio,180,73,30,Right,78,78,66,82,72.2,63.67,67.43,52.12,9.2,38000,12000000
871,Pablo Piatti,163,63,31,Left,78,78,78,41.67,65.6,74.67,74.57,71.5,9.8,10500,11500000
872,Víctor Díaz,184,72,32,Right,78,78,70,75,70.4,68.67,73.86,55.88,11.4,26000,9500000
873,Guilherme,195,95,34,Right,78,78,18.5,16,41.6,28.33,44.86,18.75,77,14500,2400000
874,Papakouli Diop,179,77,34,Right,78,78,69.5,77.33,75,68,61.86,69,10.8,27500,4800000
875,Etienne Capoue,190,87,32,Right,78,78,75.5,76.33,76.8,74.67,63.14,68.88,12,19500,10000000
876,Dieumerci Mbokani,185,73,34,Right,78,78,79,33,69.8,62.33,70.14,72.88,9,26500,7000000
877,Ignacio Piatti,180,76,35,Right,78,78,83,47.33,74.2,73.67,64.14,73.12,11.2,19500,6000000
878,Felipe Caicedo,183,82,32,Left,78,78,78,41,70.6,68,73.14,73.12,9,60000,12000000
879,Kevin-Prince Boateng,185,86,33,Right,78,78,82,64.67,75.2,75.33,67.57,76.75,10.8,21500,9000000
880,Cristian Ansaldi,181,76,34,Right,78,78,81.5,78,77,79,73.14,63.88,11.4,45000,9000000
881,Antonio Candreva,180,70,33,Right,78,78,81,59,72,77.33,67.14,74.88,9.2,85000,9000000
882,Domenico Criscito,183,75,33,Left,78,78,72.5,79,73.4,78,73,66.25,11.4,18000,7500000
883,Victor Moses,177,77,29,Right,78,78,81.5,73,71.6,74,74.43,69.38,11.2,85000,14000000
884,Andrés Guardado,169,67,34,Left,78,78,80,73,73,78,71.14,70.38,9.6,25500,8500000
885,José Fonte,191,81,36,Right,78,78,61,78.67,70.4,54,51.86,41.25,10,24000,2500000
886,Gervinho,179,65,33,Right,78,78,79,26.33,63.2,71.67,75.86,64.12,10.8,38000,9000000
887,Ryan Bertrand,179,85,31,Left,78,78,76.5,76.67,73.4,74,73.14,58.25,12.8,50000,12000000
888,Martin Škrtel,191,81,35,Right,78,78,51.5,77.67,66.8,55.67,60.71,42.62,8.8,26000,3700000
889,Ștefan Radu,183,79,33,Left,78,78,67.5,84.67,73.8,68.33,63.29,59.88,10.4,50000,6500000
890,Tom Heaton,187,92,34,Right,78,78,22.5,14.67,40.6,28.67,56.71,20,77.2,43000,2400000
891,Mathieu Debuchy,176,76,35,Right,78,78,75,77.33,76.2,75.33,70.71,67.75,9.8,31000,5000000
892,Jorge Molina,188,72,38,Right,78,78,76,32,74.2,62,46.43,76,11,23500,4800000
893,Andrés Fernández,187,82,33,Right,78,78,16,17,42.2,30.67,60.43,19.12,75.6,19500,4600000
894,José Sosa,179,71,35,Right,78,78,81,66,73.8,81.33,65.57,73.62,10.8,47000,5500000
895,Carlos Tévez,171,77,36,Right,78,78,78,45,71.2,72.33,69.14,74.38,3,16500,4800000
896,Lisandro López,174,74,37,Right,78,78,78,42.33,71.4,71,70.43,78.38,9.6,18000,4800000
897,Antonio Mirante,193,79,37,Right,78,78,24.5,11.33,41,26.67,47.14,20,75.6,24000,350000
898,Burak Yılmaz,188,77,35,Right,78,78,69,28,73.2,64.67,67,75.5,12,40000,7000000
899,Moyá,188,83,36,Right,78,78,18.5,14.33,35.4,25.67,44.57,18.88,78.2,14500,350000
900,Kevin Berlaso,172,69,32,Right,77,77,76.5,74.67,72.4,71,75,58.75,11.6,,
901,Dejan Kulusevski,186,75,20,Left,77,87,81,57.33,70.6,75.33,75.43,61.25,8.8,55000,23000000
902,Mohamed Ihattaren,183,75,18,Left,77,88,85,40.33,59.4,73.67,70.43,67.38,9.2,6500,22000000
903,Samuel Chukwueze,172,70,21,Left,77,86,83.5,35,59.4,64.67,76.43,64.88,8.4,23000,23500000
904,Mason Greenwood,181,70,19,Left,77,89,78,35.67,64.2,70.67,73.86,71.38,6.8,32000,24500000
905,Vicente Damián Castro,187,85,28,Right,77,77,71.5,76.33,70.6,74.33,70.86,66.62,9.6,,
906,Federico Luis Contedo,174,71,36,Left,77,77,75.5,23,63.6,74.67,72.57,71.25,11.8,,
907,Leandro Agustín Baezo,188,88,32,Right,77,77,72,78.67,74,66.67,75.29,69.88,11,,
908,Jorge Sandro Herrería,175,71,32,Right,77,77,74,76.67,71,74.33,72.29,51.25,12.2,,
909,Jovane Cabral,176,72,22,Right,77,87,80,33.33,62.6,70,78,71.5,10,13500,23500000
910,Jonathan David,177,77,20,Right,77,88,78.5,20.33,54.2,70.67,81,67,7.8,28500,23500000
911,Ferro,191,78,23,Right,77,84,61.5,78,73.6,57,61.71,44.38,9.8,11000,19500000
912,Mehdi Taremi,187,82,28,Right,77,77,84,29.67,57,64.33,68.43,69.62,10.4,15500,11500000
913,Sandro Tonali,181,80,20,Right,77,91,77.5,72,71.6,77.67,75.71,68.5,8.8,24500,24000000
914,Mathías Olivera,184,78,22,Left,77,85,71.5,74.33,73,66.67,73,51.5,13.6,22000,22500000
915,Nicolás De la Cruz,167,65,23,Right,77,86,79,64,76.8,73,80.14,75.12,8,16000,23500000
916,Ozan Kabak,186,86,20,Right,77,87,72,76.67,65.4,56,74.43,40.38,8.8,18500,21500000
917,Galeno,179,62,22,Right,77,85,82.5,28.67,65.8,63,78,64.62,11.6,15000,23500000
918,Krépin Diatta,175,69,21,Right,77,85,80.5,45.67,63.6,67.67,85.86,62.12,10.4,21500,23500000
919,Reece James,182,87,20,Right,77,86,76,73.67,68.2,74,76,60.5,10.2,49000,22000000
920,Davidson,177,63,29,Right,77,77,80.5,40.33,67.6,69,75.43,71.62,8.2,18500,10500000
921,Owen Wijndal,176,65,20,Left,77,86,76,72.67,75.6,70.67,76.57,51.75,9.6,8000,22000000
922,Marcos Senesi,185,80,23,Left,77,84,69.5,79.33,66.2,66,67.71,38.38,9.8,12000,19500000
923,Mattéo Guendouzi,185,80,21,Right,77,86,76,71.67,74,75.33,72.86,65.12,9.8,46000,22500000
924,Noussair Mazraoui,183,62,22,Right,77,83,80.5,71.33,73.4,74.33,73,54.5,11.2,13500,16000000
925,Luiz Felipe,187,80,23,Right,77,85,70,79.67,65.4,63.67,66.29,38.12,10.8,41000,22000000
926,Marc Roca,184,74,23,Left,77,82,74.5,72.33,70.4,78.33,62.29,58.75,10.4,8200,14500000
927,Marcus Edwards,168,65,21,Left,77,89,83,32.67,61.4,67,71,59.62,11,10000,26000000
928,Bruno Viana,187,79,25,Right,77,81,56.5,79,66.4,59.67,68.86,48.5,8,13500,13000000
929,Henry Onyekuru,175,70,23,Right,77,84,81,33.33,57.8,67.33,80.43,65.62,9.4,40000,21000000
930,Shoya Nakajima,164,64,26,Right,77,78,80.5,35,66.8,67.67,75.14,67.38,8.2,13500,12500000
931,Daniel James,170,76,22,Right,77,83,75.5,41,66,68.33,79.43,63.38,9.6,80000,17000000
932,Amine Harit,180,67,23,Right,77,83,84,43.33,59.4,71,64.14,61,11.4,24500,16500000
933,Issa Diop,194,92,23,Right,77,84,56.5,79.33,69,55.67,67.71,43,9.2,31000,19500000
934,Exequiel Palacios,177,70,21,Right,77,86,78,68.67,74.6,74.33,76.43,67,7.6,40000,23500000
935,Dodi Lukébakio,187,77,23,Left,77,83,80.5,28,57.8,67.67,74.43,67.62,10.6,37000,17000000
936,Nahitan Nández,172,70,24,Right,77,83,76.5,76.33,80.4,72.33,79.57,59,10,28500,16500000
937,Franck Yannick Kessié,183,76,23,Right,77,82,78.5,76.67,78.8,73.33,78.43,67.5,10.8,32000,16000000
938,Gautier Larsonneur,181,70,23,Right,77,82,21,14.67,35.2,24.33,55.14,20.25,76.2,12500,13000000
939,Sidney Pessinho,187,85,28,Right,77,77,71.5,77.33,70.6,74.33,69.14,66.62,9.6,26500,9500000
940,Vieirundinho,189,84,32,Right,77,77,57.5,80.33,64.2,60,62,44.12,11,25500,7000000
941,Victildinho,178,75,24,Right,77,77,74,75.67,68.8,72,70.86,58.5,11.6,12000,11000000
942,Rodrigo Vuarte,179,77,28,Left,77,77,64.5,78,66.8,73.67,67.29,59.62,10,18000,9500000
943,Jadsinho Mei,176,72,24,Right,77,77,59.5,70.33,70.4,64.67,64.29,51.62,6.8,14500,11000000
944,Andeson Trigo,175,68,32,Left,77,77,74.5,75.67,73.2,74,75.29,67.25,11,22500,7500000
945,Wagner Laranjo,177,77,36,Right,77,77,76,73,70.6,74,69.57,70.38,11.2,12000,2100000
946,Claudio Coíntra,174,71,24,Left,77,77,75.5,22,63.6,74.67,73,71.25,11.8,24500,12000000
947,Enzo Chissano,165,62,28,Left,77,77,69,74,68,72.33,74.29,70.62,10,18000,9500000
948,Lucas Mantela,183,77,20,Right,77,77,20,17,34.6,20,51,21.88,75.8,8900,8500000
949,Faitout Maouassa,170,73,22,Left,77,81,75,73.67,71.8,72,79,63,8.4,28500,14500000
950,Georgiy Dzhikiya,188,86,26,Left,77,81,63.5,81.33,73.6,63.33,76.14,55.62,12.6,17000,13000000
951,Córdoba,180,73,23,Left,77,83,79.5,69.67,68.8,71.33,75.71,64,10.8,23000,16500000
952,Sergi Guardiola,184,78,29,Left,77,77,79,23,67,55.67,73.71,69.25,11.6,24000,10500000
953,Toni Villa,172,63,25,Right,77,79,82.5,53.33,65.4,75,66.14,60,11.6,20500,13000000
954,Oussama Idrissi,175,78,24,Right,77,81,83,35.67,62.2,68.67,72.29,69.38,13,12000,15000000
955,Emil Audero,192,83,23,Right,77,87,18.5,10,35,20.33,49.86,21.62,76,13000,20000000
956,André-Franck Zambo Anguissa,184,78,24,Right,77,83,80.5,73.33,76.8,72,74.71,61.88,10,75000,16500000
957,Rubén Duarte,180,75,24,Left,77,82,68.5,79,67,72.67,66.71,47.88,11.2,19500,15000000
958,Takumi Minamino,174,67,25,Right,77,80,81,29.33,65.8,66.67,79.86,69.12,11.6,80000,14000000
959,Hwang Hee Chan,177,77,24,Right,77,82,78,25,62.2,69.67,82.43,67,10.8,45000,16000000
960,Uğurcan Çakır,191,82,24,Right,77,81,19,17,38.6,24.67,58,22.5,74.8,19500,12000000
961,Thilo Kehrer,186,76,24,Right,77,82,67,78.67,72.6,68.33,73.86,47.88,10.8,50000,14500000
962,Emiliano Buendía,172,65,23,Right,77,83,81.5,61,72.2,77.33,67.86,66.38,10,12000,16500000
963,Denis Bouanga,180,70,25,Right,77,80,80,28.67,65.8,72,72.29,73.12,11,31000,14000000
964,Nadiem Amiri,180,73,23,Right,77,82,83.5,54.33,65.2,79,69.86,66.62,12,47000,16000000
965,Ellyes Skhiri,185,73,25,Right,77,80,74.5,75.67,70,74,66.43,67.12,13,24500,12500000
966,Mason Holgate,184,75,23,Right,77,81,68.5,78,72,73,71.57,47.25,11.6,55000,13500000
967,Zeki Çelik,180,78,23,Right,77,83,72,72.67,72.6,71.67,74.57,48,10.6,27000,15500000
968,Jérémie Boga,174,72,23,Right,77,86,82.5,33.33,61.8,73.33,74.86,67.88,12.4,28500,23500000
969,Fábio Martins,178,70,27,Right,77,77,82,45.67,69.8,70.33,73.57,71.12,10.6,15500,11500000
970,Jarrod Bowen,175,70,23,Left,77,84,78.5,41.67,64,69,74.29,68,10.6,35000,21000000
971,Sofyan Amrabat,185,70,24,Right,77,84,80.5,74.67,77.4,75,78.71,60.12,12,43000,21000000
972,Adam Marušić,185,85,27,Right,77,77,77.5,72.33,73,73.67,80,67.5,8.8,50000,11000000
973,Omar Al Soma,190,86,31,Right,77,77,73.5,32.67,66.4,67.67,71.86,76,11.2,42000,9000000
974,Jonas Omlin,189,80,26,Right,77,82,29,21.67,38.4,34.67,54.86,24.12,75.8,24000,12000000
975,Andrea Conti,184,76,26,Right,77,80,75,74.67,73.4,73.67,69.86,56.88,10.8,34000,12500000
976,Mario Pašalić,188,82,25,Right,77,81,79,65.67,74.4,75.33,66.14,67.75,12.8,47000,14500000
977,Gabriel Arias,188,82,33,Right,77,77,17.5,13,35.2,23.67,46.43,22.88,76.4,15000,5000000
978,Otávio,173,72,26,Right,77,79,72.5,78.33,74.2,67.67,69.29,53.62,10.8,29500,11500000
979,Timothy Castagne,180,80,24,Right,77,82,76.5,75,74,74.67,74.57,49.75,12.6,60000,16000000
980,Unai López,170,70,24,Right,77,81,79,66,72.8,76.33,74.71,66,12.4,21000,15000000
981,Lucas Olaza,175,68,26,Left,77,80,75.5,75.33,71.8,73,73.57,72,11.2,21000,13000000
982,Mariano,180,76,27,Right,77,78,72.5,38.33,69.8,55.67,79.43,77.88,11,125000,12500000
983,Harry Wilson,173,70,23,Left,77,83,76.5,46,60.6,72.33,69.43,75.88,10.2,65000,16500000
984,Saïd Benrahma,172,67,25,Right,77,80,81,31,62.6,70,69.29,67.12,10.6,43000,14500000
985,Jan Bednarek,189,77,24,Right,77,83,54.5,77.67,65.4,54.67,68.29,30.5,11.2,41000,15000000
986,Hassane Kamara,168,67,26,Left,77,80,74.5,73.33,73.6,70.33,82.29,54.25,11,32000,12500000
987,Diego Rico,183,76,27,Left,77,78,71.5,76.33,70.6,69,73.57,62.75,11,14500,11000000
988,Gonzalo Escalante,182,76,27,Right,77,80,70.5,75.67,75.8,73,69.86,63.62,10.4,48000,12000000
989,Pedro Henrique,190,88,27,Left,77,80,58,79.33,68.6,45,54.57,43.12,11,11000,12000000
990,Islam Slimani,188,83,32,Right,77,77,74,38,75.6,75,62.57,72.5,10.2,75000,8500000
991,Álex Moreno,179,68,27,Left,77,78,76.5,71.67,67.8,70.67,78.86,62.12,10.8,22000,11000000
992,Moses Simon,168,69,25,Right,77,80,80.5,32.67,57.4,68.33,85.43,63.25,10.8,23500,14500000
993,Bastos,180,77,28,Right,77,78,65,79,64.8,57,74.14,42.25,11.2,50000,10000000
994,Alexander Sørloth,194,90,24,Left,77,81,72.5,27.67,68.8,64,74.29,72.88,11.6,45000,15500000
995,Wendell,178,72,27,Left,77,78,79,74.67,75.2,73.33,71.71,55.75,10.8,50000,11500000
996,Gonçalo Paciência,184,79,26,Right,77,79,79,24.67,71.2,51.33,67.86,72.38,10,29500,13500000
997,Jean Michaël Seri,171,73,29,Right,77,77,78.5,69.33,72.2,78.67,67.14,68.25,11.6,90000,10500000
998,Daley Sinkgraven,179,65,25,Left,77,81,80,72,73.4,79,72.71,63.88,12.6,43000,14000000
999,Kenny Tete,180,71,24,Right,77,81,66,79.33,69.6,68.67,74.57,48.88,10.2,70000,14000000
1000,Aleksandar Mitrović,189,90,26,Right,77,80,71.5,20.67,67.6,47.33,72.14,69.25,10.6,90000,14000000
1001,Nikola Maksimović,193,87,28,Right,77,78,55,79.33,65.6,54.33,63.86,34.38,10.4,55000,10000000
1002,Bruno Petković,193,88,26,Right,77,80,81,32,62.2,72.67,74,75.62,11.8,19500,14000000
1003,Rúben Vezo,183,80,26,Right,77,82,63,79.67,69.2,67.33,75.71,53.88,10.4,23000,14000000
1004,Lucas Alario,184,78,27,Right,77,78,75.5,23,65.6,54.67,69.57,68.5,12,60000,12500000
1005,Julio Buffarini,170,74,32,Right,77,77,75.5,71,73.4,67.67,83.86,61.62,10.2,17000,7500000
1006,Silvio Romero,177,76,32,Right,77,77,76,37.67,57.8,68,71,72.5,11.2,22000,9000000
1007,Yimmi Chará,165,68,29,Right,77,77,77,58.67,66.2,68,86,57.25,8.4,10000,10500000
1008,Jefferson Lerma,179,70,25,Right,77,80,73,74.67,73.2,72.33,75.57,64.5,11.4,14000,12500000
1009,Thiago Mendes,177,80,28,Right,77,77,78,73.67,76.2,75.33,74,66.75,11.2,60000,10500000
1010,Alex Iwobi,185,75,24,Right,77,81,80.5,26.33,60.2,72.67,72.14,57.88,11.6,60000,15000000
1011,Puertas,183,77,28,Right,77,77,76,38,64.8,73.33,75.86,67.38,12,28000,10500000
1012,Diego Laxalt,178,71,27,Left,77,77,77,67.33,70.8,76,78.14,57.75,9.8,37000,11000000
1013,Divock Origi,188,75,25,Right,77,82,78,19.33,65.8,67.33,76.71,66.5,14,80000,15500000
1014,Wylan Cyprien,181,78,25,Right,77,79,78.5,73.67,75.6,75.67,74.86,75.75,11.4,33000,13000000
1015,Mario Lemina,184,85,27,Right,77,78,80.5,72.33,70.8,77,68.86,70,12,50000,12500000
1016,Rodrigo Javier De Paul,178,70,26,Right,77,79,84,51,69,78,69.71,70.62,11.2,18500,13000000
1017,Arthur Masuaku,179,70,26,Left,77,79,80,71.67,69.6,73.67,78,61.62,7.8,36000,12000000
1018,Alexander Djiku,182,74,26,Right,77,80,71.5,77.33,73.2,70.33,73.86,47.12,9.6,26000,12500000
1019,Nicolae Stanciu,170,63,27,Right,77,78,77.5,50,66.4,79.33,72.29,73.12,11.2,18500,12000000
1020,Camilo Vargas,185,77,31,Left,77,77,17.5,19,72,21,51.43,26.88,72,11500,5500000
1021,Neal Maupay,171,69,24,Right,77,81,73,39.33,67.2,64.67,73,71.5,10.4,50000,15500000
1022,Ricardo Centurión,174,65,27,Right,77,77,83,37,65.4,67.67,82.29,69.12,7.8,20000,11000000
1023,Callum McGregor,174,74,27,Left,77,78,78.5,73.33,75.8,72.67,76.86,62.5,10.8,47000,11000000
1024,Ridgeciano Haps,175,66,27,Left,77,78,75.5,72,71.4,69.33,81.14,56.62,11,14000,11000000
1025,Jonas Hofmann,176,70,28,Right,77,77,78,44.33,68,75.67,71.71,64.38,8.4,36000,11000000
1026,Bruno Peres,178,72,30,Right,77,77,77,72.33,67.8,71,81.29,66.5,9.4,43000,9000000
1027,Adrien Thomasson,177,72,26,Right,77,80,78.5,64,73.2,76,71.86,66.88,12,30000,14000000
1028,Óliver Torres,175,70,25,Right,77,82,83.5,62,71.8,77,63.29,65.88,8.4,25500,15500000
1029,Thomas Foket,177,67,26,Right,77,80,72.5,75.33,71,71,77.14,59,10.8,23500,13000000
1030,Clinton Mata,180,73,27,Right,77,79,76,77.33,75.2,70.33,82,63.38,9.4,24000,11000000
1031,Jonas Hector,185,75,30,Left,77,77,76,77.33,72,75.33,70.43,62.38,11,26000,9000000
1032,Andreas Samaris,189,83,31,Right,77,77,72.5,78,76.8,70,64,68.12,9.8,13000,7500000
1033,Joël Veltman,184,75,28,Right,77,77,69,79,74.2,72.33,70.14,47.38,8.6,50000,9000000
1034,Roger,179,74,29,Right,77,77,74.5,38.67,68.2,60.67,75,70.12,13,28000,10500000
1035,Carlos Bacca,181,77,34,Right,77,77,75.5,23.33,65.4,61,68.43,71.88,9,34000,6500000
1036,Jesse Lingard,175,62,27,Right,77,77,77,56.33,72.6,71.33,75,72.88,10.8,95000,11000000
1037,Franco Vázquez,187,82,31,Left,77,77,84,52.33,74.4,77,53.71,74.88,11.6,26500,8500000
1038,Sergio Rico,195,90,27,Right,77,79,13,12.67,38.2,23.67,47.71,22.25,76.4,49000,10000000
1039,Roberto Torres,178,72,31,Right,77,77,76.5,65.67,75.4,78.33,67.57,73.5,10.4,31000,8500000
